time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/06/10/18:44:21.119674,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.131794,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.139823,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.146714,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.154054,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.177309,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.189883,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.196505,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.198951,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.211304,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.214070,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.223608,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.232008,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.316331,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.412590,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.512772,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.612380,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.714461,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.814399,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:21.915957,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.016834,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.119706,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.224120,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.331285,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.428581,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.528178,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.631086,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.724443,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.827333,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:22.920332,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.021044,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.120038,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.223927,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.320966,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.422379,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.524339,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.624195,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.726142,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.827655,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:23.928459,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:41.832983,0.0,0.0,0.0,0.0,0.0,0.0
2021/06/10/18:44:42.141918,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:42.262255,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:42.391681,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:42.438419,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.485754,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.543493,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.591588,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.647989,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.711607,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.752820,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.808434,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.857365,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:42.980537,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.100266,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.220187,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.344685,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.481856,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.617074,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.754158,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:43.892905,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.039481,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.087508,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.150090,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.205401,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.253790,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.307726,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.368312,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.424733,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.509992,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.581815,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.639798,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.782189,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:44.923280,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.059967,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:45.207520,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:45.316630,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.436192,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.557106,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.617914,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.669932,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.730729,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.791288,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:45.914885,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:45.980922,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.028793,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.078988,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.204637,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.258984,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.320920,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.373382,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.426031,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.502794,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:46.545522,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:46.609082,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:46.673106,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:46.802422,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:46.928807,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:46.982947,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.035206,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.167090,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.230254,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:47.297285,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:47.363909,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:47.423989,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:47.494476,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:47.548811,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.610165,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.696880,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.744960,0.0,0.0,0.0,0.0,0.0,0.3
2021/06/10/18:44:47.870059,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:47.936923,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:48.005078,0.0,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:48.075194,0.0,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:48.141524,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:48.260788,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:48.387970,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:48.446075,0.0,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:48.511461,0.0,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:48.659719,0.0,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:48.722310,0.0,0.0,0.0,0.0,0.0,0.249152542373
2021/06/10/18:44:48.807110,0.0,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:48.862350,0.0,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:48.992639,0.0,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:49.119063,0.0,0.0,0.0,0.0,0.0,0.238983050847
2021/06/10/18:44:49.212713,0.0,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:49.260800,0.0,0.0,0.0,0.0,0.0,0.249152542373
2021/06/10/18:44:49.318633,0.0,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:49.377307,0.0,0.0,0.0,0.0,0.0,0.228813559322
2021/06/10/18:44:49.432485,0.0,0.0,0.0,0.0,0.0,0.238983050847
2021/06/10/18:44:49.486690,0.0,0.0,0.0,0.0,0.0,0.238983050847
2021/06/10/18:44:49.544160,0.0,0.0,0.0,0.0,0.0,0.238983050847
2021/06/10/18:44:49.606343,0.0230769230769,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:49.732044,0.0192307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:49.859082,0.0192307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:49.981116,0.0192307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.103443,0.0192307692308,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:50.231266,0.0192307692308,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:50.362493,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.483021,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.614398,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.665986,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.716824,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.768525,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.823024,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.882367,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.933486,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:50.988283,0.0192307692308,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:51.042685,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:51.102563,0.0153846153846,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:51.161791,0.0153846153846,0.0,0.0,0.0,0.0,0.269491525424
