time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/06/10/18:44:21.108965,234621,1623343459,962400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.119164,234622,1623343460,12400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.122298,234623,1623343460,62400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.131414,234624,1623343460,112400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.132476,234625,1623343460,162400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.136838,234626,1623343460,212400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.142122,234627,1623343460,262400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.146116,234628,1623343460,312400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.147081,234629,1623343460,362400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.150894,234630,1623343460,412400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.157575,234631,1623343460,462400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.171231,234632,1623343460,512400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.178773,234633,1623343460,562400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.189760,234634,1623343460,612400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.190201,234635,1623343460,662400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.194773,234636,1623343460,712400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.196964,234637,1623343460,762400110,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.197868,234638,1623343460,812748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
